on_air_id,community,lon,lat,licensee,description
7DBS,WYNYARD,145.7200012,-40.97999954,Coastal FM Inc.,General Geographic Area
7HFC,HOBART,147.3200073,-42.88000107,Hope Foundation Communicators,Religious - Christian
7RPH,HOBART,147.3200073,-42.88000107,RPH Print Radio Tasmania Inc.,Print Handicapped
7WAY,LAUNCESTON,147.1399994,-41.43999863,Launceston Christian Broadcasters,Religious - Christian
88.9 FM Richmond,CORAKI,153.2846069,-28.99850082,Community Radio Coraki Assoc Inc.,General Geographic Area
8EAR,NHULUNBUY,136.7763062,-12.18700027,8-EAR Community Radio Inc,General Geographic Area
8GGG,DARWIN,130.8366394,-12.45722008,Darwin Christian Broadcasters Assoc Inc.,Religious - Christian
8KNB,DARWIN,130.8366394,-12.45722008,Radio Larrakia Association Inc.,Aboriginal
8KTR,KATHERINE,132.2667694,-14.46675968,Katherine Community Radio Inc.,General Geographic Area
8MAB,BORROLOOLA,136.3069,-16.06760025,Mabunji Aboriginal Resource,General Geographic Area
90.7 SYN FM,MELBOURNE,144.9451447,-37.81069565,Student Youth Network Inc.,Youth
91.9 FM,GLADSTONE,143.6112518,-36.42097092,Gladstone and District Christian,Religious - Christian
92.5 FM,BOWRAL,150.4178925,-34.48180008,MVH FM Inc.,Youth
92.9 Voice FM,TOOWOOMBA,151.9525909,-27.55723,Toowoomba Christian Broadcasters,Religious - Christian
94.7 the Pulse,GEELONG,144.3548584,-38.14513779,Geelong Ethnic Communities,General Geographic Area
97.1 MID FM,OATLANDS,147.3699951,-42.29999924,Southern Midlands Community,General Geographic Area
97.7 TASMAN FM,TASMAN PENINSULA,147.8399963,-43.09000015,Tasman Community Broadcasters,General Geographic Area
Alex FM,GOOLWA,138.7817688,-35.50146866,Radio Alexandrina (Alex FM),General Geographic Area
Alive 90.5,PARRAMATTA,151.0012054,-33.81520081,Cumberland Community Radio Inc.,General Geographic Area
Apline Radio,MOUNT BEAUTY,147.1557007,-36.73513794,Kiewa Valley Community Radio,General Geographic Area
Apple FM,BACCHUS MARSH,144.4359741,-37.68736267,Bacchus Marsh Community Radio,General Geographic Area
Bay and Basin FM,SANCTUARY POINT,150.6271057,-35.10290146,Bay and Basin Community Resources,General Geographic Area
BBB-FM,BAROSSA VALLEY,138.8913574,-34.63428879,Barossa Broadcasting Board Inc.,General Geographic Area
Beau FM,BEAUDESERT,138.5987244,-35.47291946,Beaudesert Community Radio,General Geographic Area
BIR,BRISBANE,153.0280151,-27.46784782,Brisbane Interactive Radio Group,Youth
BOD FM,BREAK ODAY,146.6333313,-32.41667175,BOD FM Inc.,General Geographic Area
Bumma Bippera,CAIRNS,145.7662506,-16.92304039,Bumma Bippera Media Aboriginal &,Aboriginal
Bwgcolman Radio,PALM ISLAND,130.5393524,-15.59015465,Queensland Police-Citizens Youth,General Geographic Area
CAAMA Radio,CENTRAL ZONE,137.6742859,-34.37049866,Central Australian Aboriginal Media Assoc,Aboriginal
CB,COOBER PEDY,134.7485657,-29.00742912,Dusty Radio Inc.,General Geographic Area
City Park Radio,LAUNCESTON,147.1399994,-41.43999863,Launceston Community FM Group,General Geographic Area
Classic Hits,CABOOLTURE,152.9744415,-27.0672226,Caboolture Community FM Radio,General Geographic Area
CoastFM963,GOSFORD,151.3511963,-33.42350006,Central Coast Community FM Radio,General Geographic Area
COW FM,CASINO,153.0464935,-28.8715992,Casinos Own Wireless Association Inc.,General Geographic Area
Crow FM,WONDAI,151.8691711,-26.30388832,Community Radio of Wondai,General Geographic Area
Edge FM,BEGA,149.8423004,-36.68489838,Bega Access Radio Inc.,General Geographic Area
Edge Radio 99.3,HOBART,147.3200073,-42.88000107,Tasmanian Youth Broadcasters Inc.,Youth
exBRACS,ALI CURUNG,134.4069366,-21.00333405,Barkly Shire Council,Aboriginal
exBRACS,AMATA,131.147995,-26.15153313,Amata Community Council,Aboriginal
exBRACS,AURUKUN,141.814743,-13.60266399,Aurukun Shire Council,Aboriginal
exBRACS,BADU ISLAND,142.1447144,-10.11555576,Torres Strait Island Regional,Torres Strait Islanders
exBRACS,BALGO,141.3500061,-16.54999924,Wirrimanu Aboriginal Corporation,Aboriginal
exBRACS,BAMAGA,142.4272308,-10.8516674,Northern Peninsula Area Regional,Torres Strait Islanders
exBRACS,BARUNGA,132.8670044,-14.52880001,Roper Gulf Shire Council,Aboriginal
exBRACS,BATHURST ISLAND,130.3105011,-11.59739971,Tiwi Islands Shire Council,Aboriginal
exBRACS,BEAGLE BAY,122.5410004,-16.92971992,Pilbara and Kimberley Aboriginal,Aboriginal
exBRACS,BESWICK,133.1141968,-14.55480003,Roper Gulf Shire Council,Aboriginal
exBRACS,BOIGU ISLAND,142.2136078,-9.260277748,Torres Strait Island Regional,Torres Strait Islanders
exBRACS,BULMAN,134.3333435,-13.66529179,Roper Gulf Shire Council,Aboriginal
exBRACS,COCONUT ISLAND,143.0641632,-10.05017757,Torres Strait Island Regional,Torres Strait Islanders
exBRACS,DAGURAGU,130.8049164,-17.4005909,Victoria Daly Shire Council,Aboriginal
exBRACS,DARNLEY ISLAND,143.7633362,-9.596943855,Torres Strait Island Regional,Torres Strait Islanders
exBRACS,DAUAN ISLAND,142.5394592,-9.414066314,Torres Strait Island Regional,Torres Strait Islanders
exBRACS,DJARINDJIN,135.4234924,-15.34729958,Djarindjin Aboriginal Corporation,Aboriginal
exBRACS,DOOMADGEE,138.7480621,-17.69388771,Doomadgee Aboriginal Shire,Aboriginal
exBRACS,ERNABELLA,132.1343231,-26.28533936,Ernabella Community Council,Aboriginal
exBRACS,FINKE,134.5778961,-25.58209991,MacDonnell Shire Council,Aboriginal
exBRACS,FREGON,132.0281219,-26.76451874,Kaltijiti Community Aboriginal,Aboriginal
exBRACS,GALIWINKU,135.5664063,-12.02350044,East Arnhem Shire Council,Aboriginal
exBRACS,GUNUNA,139.180069,-16.6657238,Mornington Shire Council,Aboriginal
exBRACS,HERMANNSBURG,132.7787018,-23.94269943,MacDonnell Shire Council,Aboriginal
exBRACS,HOPE VALE,145.1119385,-15.2962513,Hope Vale Aboriginal Council,Aboriginal
exBRACS,IMANPA,132.5699921,-25.13051033,MacDonnell Shire Council,Aboriginal
exBRACS,INDULKANA,133.3086853,-26.96623993,Indulkana Community Council,Aboriginal
exBRACS,INJINOO,142.276947,-11.05722237,Northern Peninsula Area Regional,Aboriginal
exBRACS,JIGALONG,120.7815399,-23.35850906,Jigalong Community Inc.,Aboriginal
exBRACS,KALUMBURU,126.6283035,-14.27917004,Kalumburu Aboriginal Corporation,Aboriginal
exBRACS,KINTORE,121.0195007,-30.59870911,MacDonnell Shire Council,Aboriginal
exBRACS,KIWIRRKURRA,127.7648392,-22.81747055,Kiwirrkurra Council Aboriginal,Aboriginal
exBRACS,KOWANYAMA,141.7869568,-15.33472157,Kowanyama Aboriginal Shire,Aboriginal
exBRACS,KUBIN,142.219162,-10.23323059,Torres Strait Island Regional,Torres Strait Islanders
exBRACS,LAGRANGE,121.9933014,-18.70556068,Bidyadanga Aboriginal Community,Aboriginal
exBRACS,LAJAMANU,130.6383362,-18.3358345,Central Desert Shire Council,Aboriginal
exBRACS,LOCKHART RIVER,117.7758026,-31.86556053,Lockhart River Aboriginal Shire,Aboriginal
exBRACS,LOOMA,124.1429977,-18.04026985,Looma Community Inc.,Aboriginal
exBRACS,MABUIAG ISLAND,142.1922302,-9.953512191,Torres Strait Island Regional,Torres Strait Islanders
exBRACS,MANINGRIDA,134.2236176,-12.05084705,West Arnhem Shire Council,Aboriginal
exBRACS,MILIKAPITI,130.6741791,-11.4216671,Tiwi Islands Shire Council,Aboriginal
exBRACS,MILINGIMBI,134.920105,-12.10359955,East Arnhem Shire Council,Aboriginal
exBRACS,MINJILANG,132.578598,-11.15069962,West Arnhem Shire Council,Aboriginal
exBRACS,MURRAY ISLAND,113.8981018,-28.89722061,Torres Strait Island Regional,Aboriginal
exBRACS,NEW MAPOON,142.417511,-10.80277824,Northern Peninsula Area Regional,Aboriginal
exBRACS,NGUKURR,134.7321014,-14.73169994,Roper Gulf Shire Council,Aboriginal
exBRACS,NUMBULWAR,135.7406006,-14.27910042,Roper Gulf Shire Council,Aboriginal
exBRACS,OENPELLI,133.056427,-12.32660007,West Arnhem Shire Council,Aboriginal
exBRACS,OOMBULGURRI,127.8440018,-15.17967987,Oombulgurri Association Inc.,Aboriginal
exBRACS,PALUMPA,129.8816223,-14.35111046,Victoria Daly Shire Council,Aboriginal
exBRACS,PAPUNYA,131.9111023,-23.20305634,MacDonnell Shire Council,Aboriginal
exBRACS,PEPPIMENARTI,130.0762939,-14.15030003,Victoria Daly Shire Council,Aboriginal
exBRACS,PMARA JUTUNTA,133.4307251,-22.20878029,Central Desert Shire Council,Aboriginal
